Electrode 1,Electrode 2,,,vFlex,,,,vPot,,,Flat,Resting,Fully Bended,,Prob
A13,A3,,0,0,0,,0,0,0,,0,0,0,,57,
A12,A3,,0,0,0,,0,0,0,,0,0,0,,57,
A11,A3,,0,0,0,,0,0,0,,0,0,0,,37,
A10,A3,,0,0,0,,0,0,0,,0,0,0,,37,
A9,A3,,0,0,0,,0,0,0,,0,0,0,,39,
A8,A3,,0,0,0,,0,0,0,,0,0,0,,39,
A7,A3,,0,0,0,,0,0,0,,0,0,0,,39,
A6,A3,,0,0,0,,0,0,0,,0,0,0,,39,
A5,A3,,0,0,0,,0,0,0,,0,0,0,,95,
A4,A3,,0,0,0,,0,0,0,,0,0,0,,95,

B13,B3,,0,0,0,,0,0,0,,0,0,0,,57,
B12,B3,,0,0,0,,0,0,0,,0,0,0,,57,
B11,B3,,0,0,0,,0,0,0,,0,0,0,,37,
B10,B3,,0,0,0,,0,0,0,,0,0,0,,37,
B9,B3,,0,0,0,,0,0,0,,0,0,0,,39,
B8,B3,,0,0,0,,0,0,0,,0,0,0,,39,
B7,B3,,0,0,0,,0,0,0,,0,0,0,,39,
B6,B3,,0,0,0,,0,0,0,,0,0,0,,39,
B5,B3,,0,0,0,,0,0,0,,0,0,0,,95,
B4,B3,,0,0,0,,0,0,0,,0,0,0,,95,

C13,C3,,0,0,0,,0,0,0,,0,0,0,,35,
C12,C3,,0,0,0,,0,0,0,,0,0,0,,35,
C11,C3,,0,0,0,,0,0,0,,0,0,0,,52,
C10,C3,,0,0,0,,0,0,0,,0,0,0,,52,
C9,C3,,0,0,0,,0,0,0,,0,0,0,,58,
C8,C3,,0,0,0,,0,0,0,,0,0,0,,58,
C7,C3,,0,0,0,,0,0,0,,0,0,0,,29,
C6,C3,,0,0,0,,0,0,0,,0,0,0,,29,
C5,C3,,0,0,0,,0,0,0,,0,0,0,,33,
C4,C3,,0,0,0,,0,0,0,,0,0,0,,33,

D13,D3,,0,0,0,,0,0,0,,0,0,0,,35,
D12,D3,,0,0,0,,0,0,0,,0,0,0,,35,
D11,D3,,0,0,0,,0,0,0,,0,0,0,,52,
D10,D3,,0,0,0,,0,0,0,,0,0,0,,52,
D9,D3,,0,0,0,,0,0,0,,0,0,0,,58,
D8,D3,,0,0,0,,0,0,0,,0,0,0,,58,
D7,D3,,0,0,0,,0,0,0,,0,0,0,,29,
D6,D3,,0,0,0,,0,0,0,,0,0,0,,29,
D5,D3,,0,0,0,,0,0,0,,0,0,0,,33,
D4,D3,,0,0,0,,0,0,0,,0,0,0,,33,

S.Freq 10%, S.Freq 20%, S.Freq 25%, S.Freq 50%, S.Freq 75%
10,10,10,4,1

Name:,Glen,,Start time:,Mon Mar 16 21:36:11 2020
Electrode 2 location:,3,,End time:,Mon Mar 16 21:36:12 2020
